"Y","L","X","K","weight_type","association_type","estimate","variance","se","lower_95","upper_95"
"maxPD","Pd>=5","FSI","FSI","no_weight","pearson",0.0564926980007939,2.2928156964078e-05,0.00478833551080937,0.0471077328537133,0.0658776631478745
"maxPD","Pd>=6","DS","DS","no_weight","pearson",0.124052040366675,2.85127911910297e-05,0.00533973699642873,0.113586348166758,0.134517732566591
"maxPD","Pd>=6","FS","FS","no_weight","pearson",0.110649971085062,2.72371571534102e-05,0.00521892298787884,0.100421069990731,0.120878872179393
"maxPD","Pd>=6","DSI","DSI","no_weight","pearson",0.0764353312538329,2.82357585204506e-05,0.00531373301177718,0.0660206059272881,0.0868500565803777
"maxPD","Pd>=6","FSI","FSI","no_weight","pearson",0.0564926980007939,2.2928156964078e-05,0.00478833551080937,0.0471077328537133,0.0658776631478745
"maxCAL","Cal>=3","DS","DS","CW","pearson",0.131987730440244,4.9480627450543e-05,0.00703424675786562,0.11820086013646,0.145774600744028
"maxCAL","Cal>=3","FS","FS","CW","pearson",0.0744779979366765,3.13153835869318e-05,0.00559601497379446,0.0635100101310925,0.0854459857422605
"maxCAL","Cal>=3","DSI","DSI","CW","pearson",0.105873063923101,5.49544470210202e-05,0.00741312666970019,0.0913436026376557,0.120402525208547
"maxCAL","Cal>=3","FSI","FSI","CW","pearson",0.0405551293235799,2.70164907649064e-05,0.00519773900507773,0.0303677480725885,0.0507425105745713
"maxCAL","Cal>=4","DS","DS","CW","pearson",0.131987730440244,4.9480627450543e-05,0.00703424675786562,0.11820086013646,0.145774600744028
"maxCAL","Cal>=4","FS","FS","CW","pearson",0.0744779979366765,3.13153835869318e-05,0.00559601497379446,0.0635100101310925,0.0854459857422605
"maxCAL","Cal>=4","DSI","DSI","CW","pearson",0.105873063923101,5.49544470210202e-05,0.00741312666970019,0.0913436026376557,0.120402525208547
"maxCAL","Cal>=4","FSI","FSI","CW","pearson",0.0405551293235799,2.70164907649064e-05,0.00519773900507773,0.0303677480725885,0.0507425105745713
"maxCAL","Cal>=5","DS","DS","CW","pearson",0.131987730440244,4.9480627450543e-05,0.00703424675786562,0.11820086013646,0.145774600744028
"maxCAL","Cal>=5","FS","FS","CW","pearson",0.0744779979366765,3.13153835869318e-05,0.00559601497379446,0.0635100101310925,0.0854459857422605
"maxCAL","Cal>=5","DSI","DSI","CW","pearson",0.105873063923101,5.49544470210202e-05,0.00741312666970019,0.0913436026376557,0.120402525208547
"maxCAL","Cal>=5","FSI","FSI","CW","pearson",0.0405551293235799,2.70164907649064e-05,0.00519773900507773,0.0303677480725885,0.0507425105745713
"maxPD","Pd>=4","DS","DS","CW","pearson",0.12679208297367,3.41563025621508e-05,0.00584433936062501,0.115337388313415,0.138246777633925
"maxPD","Pd>=4","FS","FS","CW","pearson",0.100587688549359,2.88493485970473e-05,0.00537115896218379,0.0900604104282396,0.111114966670479
"maxPD","Pd>=4","DSI","DSI","CW","pearson",0.0826345767562431,3.50650582693257e-05,0.00592157565765445,0.0710285017355113,0.0942406517769749
"maxPD","Pd>=4","FSI","FSI","CW","pearson",0.0511784377615622,2.47964453987852e-05,0.00497960293585595,0.0414185953499746,0.0609382801731498
