"Y","L","X","K","weight_type","association_type","estimate","variance","se","lower_95","upper_95","Age"
"maxPD","Pd>=5","FS_score","FS","PPW","pearson",0.059743130324079,9.02297516485333e-05,0.00949893423750966,0.0411255613270457,0.0783606993211124,"30-49"
"maxPD","Pd>=5","DSI_score","DSI","PPW","pearson",0.00310103987863739,0.000125862804285316,0.0112188593130191,-0.0188875203225019,0.0250896000797767,"30-49"
"maxPD","Pd>=5","FSI_score","FSI","PPW","pearson",-0.0181084199616705,9.86724368917658e-05,0.00993340006703474,-0.0375775263370864,0.0013606864137453,"30-49"
"maxPD","Pd>=6","DS_score","DS","PPW","pearson",0.0784783547029424,0.000131092926414771,0.0114495819318773,0.0560375864784223,0.100919122927462,"30-49"
"maxPD","Pd>=6","FS_score","FS","PPW","pearson",0.077253916979762,0.000103520659632711,0.0101745102895771,0.0573122432518586,0.0971955907076654,"30-49"
"maxPD","Pd>=6","DSI_score","DSI","PPW","pearson",0.0251602216252164,0.000151279704222345,0.0122995814653323,0.00105348492824877,0.049266958322184,"30-49"
"maxPD","Pd>=6","FSI_score","FSI","PPW","pearson",0.00991979981567669,0.000111817982527854,0.0105744022302849,-0.0108056477137217,0.0306452473450751,"30-49"
"maxCAL","Cal>=3","DS_score","DS","OPW","pearson",0.119513094720823,0.000130432800494472,0.0114207180376048,0.0971288986895302,0.141897290752115,"30-49"
"maxCAL","Cal>=3","FS_score","FS","OPW","pearson",0.0405422536504044,5.36246041686089e-05,0.00732288223096677,0.0261896682146812,0.0548948390861276,"30-49"
"maxCAL","Cal>=3","DSI_score","DSI","OPW","pearson",0.0910450279463334,0.0001649667857917,0.0128439396522913,0.0658713688082366,0.11621868708443,"30-49"
"maxCAL","Cal>=3","FSI_score","FSI","OPW","pearson",0.00631999209365793,6.96907675181755e-05,0.00834809963513706,-0.0100419825305627,0.0226819667178785,"30-49"
"maxCAL","Cal>=4","DS_score","DS","OPW","pearson",0.09685126921449,0.000103849125865204,0.0101906391293777,0.0768779835414651,0.116824554887515,"30-49"
"maxCAL","Cal>=4","FS_score","FS","OPW","pearson",0.0444966824002265,5.7858276807497e-05,0.00760646283153326,0.0295882892006787,0.0594050755997742,"30-49"
"maxCAL","Cal>=4","DSI_score","DSI","OPW","pearson",0.0610218947254941,0.000132069465793192,0.0114921480060601,0.0384976985286125,0.0835460909223758,"30-49"
"maxCAL","Cal>=4","FSI_score","FSI","OPW","pearson",-0.0122669909987923,7.02630925555091e-05,0.00838230830711381,-0.0286960133880462,0.0041620313904617,"30-49"
"maxCAL","Cal>=5","DS_score","DS","OPW","pearson",0.0998659482627002,0.000103379212093608,0.0101675568399497,0.079937903045635,0.119793993479765,"30-49"
"maxCAL","Cal>=5","FS_score","FS","OPW","pearson",0.0308986002399878,6.65795102771441e-05,0.00815962684668509,0.0149060254931989,0.0468911749867767,"30-49"
"maxCAL","Cal>=5","DSI_score","DSI","OPW","pearson",0.0587672773605368,0.0001217986431478,0.0110362422566651,0.0371366400128142,0.0803979147082594,"30-49"
"maxCAL","Cal>=5","FSI_score","FSI","OPW","pearson",-0.0248770791113063,7.34194211144722e-05,0.00856851335498009,-0.0416710566881177,-0.00808310153449482,"30-49"
"maxPD","Pd>=4","DS_score","DS","OPW","pearson",0.0838456138484119,8.37923564152329e-05,0.0091538164945138,0.0659044631980762,0.101786764498748,"30-49"
"maxPD","Pd>=4","FS_score","FS","OPW","pearson",0.0729578578636711,6.47000929748657e-05,0.00804363680028293,0.0571926194303955,0.0887230962969466,"30-49"
"maxPD","Pd>=4","DSI_score","DSI","OPW","pearson",0.0343842917416108,8.99382378428506e-05,0.00948357727035799,0.0157968218471065,0.0529717616361152,"30-49"
"maxPD","Pd>=4","FSI_score","FSI","OPW","pearson",-0.00204888249954469,7.06220833637792e-05,0.00840369462580472,-0.0185198213031947,0.0144220563041054,"30-49"
"maxPD","Pd>=5","DS_score","DS","OPW","pearson",0.096371144657473,8.58387203801633e-05,0.00926491880051646,0.0782122374887727,0.114530051826173,"30-49"
"maxPD","Pd>=5","FS_score","FS","OPW","pearson",0.0662498334893894,7.72674680981947e-05,0.00879019158484016,0.0490213745658956,0.0834782924128831,"30-49"
"maxPD","Pd>=5","DSI_score","DSI","OPW","pearson",0.0411995929678601,8.45461997812327e-05,0.00919490074885165,0.0231779186586905,0.0592212672770297,"30-49"
"maxPD","Pd>=5","FSI_score","FSI","OPW","pearson",0.00186111032736241,7.91474167376381e-05,0.00889648339163504,-0.015575676709301,0.0192978973640258,"30-49"
"maxPD","Pd>=6","DS_score","DS","OPW","pearson",0.111352767016985,9.31049604618714e-05,0.0096490911728448,0.092440895834666,0.130264638199304,"30-49"
"maxPD","Pd>=6","FS_score","FS","OPW","pearson",0.0792486076644514,8.19150113847332e-05,0.00905069121032936,0.0615095788570126,0.0969876364718902,"30-49"
"maxPD","Pd>=6","DSI_score","DSI","OPW","pearson",0.0583872861811379,9.58056537740859e-05,0.00978803625729318,0.039203087637471,0.0775714847248047,"30-49"
"maxPD","Pd>=6","FSI_score","FSI","OPW","pearson",0.0233934134587445,8.50022164149983e-05,0.00921966465848939,0.00532320277856849,0.0414636241389204,"30-49"
"maxCAL","Cal>=3","DS_score","DS","no_weight","pearson",0.112355032488512,0.000109847768987307,0.0104808286402988,0.0918129858253909,0.132897079151634,"50-64"
"maxCAL","Cal>=3","FS_score","FS","no_weight","pearson",0.0336985274278952,6.89983273140058e-05,0.0083065231784427,0.0174180411614004,0.0499790136943901,"50-64"
"maxCAL","Cal>=3","DSI_score","DSI","no_weight","pearson",0.0986532137641496,0.000130602872457371,0.0114281613769395,0.0762544290558365,0.121051998472463,"50-64"
"maxCAL","Cal>=3","FSI_score","FSI","no_weight","pearson",0.015885635352866,6.28689690218433e-05,0.00792899546108101,0.000345089815565667,0.0314261808901663,"50-64"
"maxCAL","Cal>=4","DS_score","DS","no_weight","pearson",0.112355032488512,0.000109847768987307,0.0104808286402988,0.0918129858253909,0.132897079151634,"50-64"
"maxCAL","Cal>=4","FS_score","FS","no_weight","pearson",0.0336985274278952,6.89983273140058e-05,0.0083065231784427,0.0174180411614004,0.0499790136943901,"50-64"
"maxCAL","Cal>=4","DSI_score","DSI","no_weight","pearson",0.0986532137641496,0.000130602872457371,0.0114281613769395,0.0762544290558365,0.121051998472463,"50-64"
"maxCAL","Cal>=4","FSI_score","FSI","no_weight","pearson",0.015885635352866,6.28689690218433e-05,0.00792899546108101,0.000345089815565667,0.0314261808901663,"50-64"
"maxCAL","Cal>=5","DS_score","DS","no_weight","pearson",0.112355032488512,0.000109847768987307,0.0104808286402988,0.0918129858253909,0.132897079151634,"50-64"
"maxCAL","Cal>=5","FS_score","FS","no_weight","pearson",0.0336985274278952,6.89983273140058e-05,0.0083065231784427,0.0174180411614004,0.0499790136943901,"50-64"
